"Entity","Code","Year","coffe_prod"
"Nigeria","NGA",1999,3750
"Nigeria","NGA",2000,3830
"Nigeria","NGA",2001,3850
"Nigeria","NGA",2002,4100
"Nigeria","NGA",2003,4360
"Nigeria","NGA",2004,4660
"Nigeria","NGA",2005,4990
"Nigeria","NGA",2006,5340
"Nigeria","NGA",2007,2520
"Nigeria","NGA",2008,3000
"Nigeria","NGA",2009,2040
"Nigeria","NGA",2010,2400
"Nigeria","NGA",2011,2524.57
"Nigeria","NGA",2012,2416.92
"Nigeria","NGA",2013,2100
"Nigeria","NGA",2014,1972.17
"Nigeria","NGA",2015,1754.52
"Nigeria","NGA",2016,1942.23
"Nigeria","NGA",2017,1889.64
"Nigeria","NGA",2018,1862.13
"Nigeria","NGA",2019,1852.02
"Nigeria","NGA",2020,1879.97
"Nigeria","NGA",2021,1842.64
"Nigeria","NGA",2022,1809.56
"Nigeria","NGA",2023,1844.06
"Panama","PAN",1961,5000
"Panama","PAN",1962,4400
"Panama","PAN",1963,4500
"Panama","PAN",1964,4300
"Panama","PAN",1965,4300
"Panama","PAN",1966,5000
"Panama","PAN",1967,5166
"Panama","PAN",1968,4500
"Panama","PAN",1969,5139
"Panama","PAN",1970,4436
"Panama","PAN",1971,5307
"Panama","PAN",1972,4944
"Panama","PAN",1973,4318
"Panama","PAN",1974,4504
"Panama","PAN",1975,4801
"Panama","PAN",1976,4677
"Panama","PAN",1977,5516
"Panama","PAN",1978,6146
"Panama","PAN",1979,6100
"Panama","PAN",1980,7272
"Panama","PAN",1981,7062
"Panama","PAN",1982,8142
"Panama","PAN",1983,8854
"Panama","PAN",1984,10750
"Panama","PAN",1985,9390
"Panama","PAN",1986,10596
"Panama","PAN",1987,10160
"Panama","PAN",1988,10274
"Panama","PAN",1989,9757
"Panama","PAN",1990,11547
"Panama","PAN",1991,12174
"Panama","PAN",1992,10945
"Panama","PAN",1993,9766
"Panama","PAN",1994,10400
"Panama","PAN",1995,11702
"Panama","PAN",1996,11113
"Panama","PAN",1997,10527
"Panama","PAN",1998,11435
"Panama","PAN",1999,12024
"Panama","PAN",2000,10255
"Panama","PAN",2001,15074
"Panama","PAN",2002,11390
"Panama","PAN",2003,11586.5
"Panama","PAN",2004,12778.8
"Panama","PAN",2005,13153
"Panama","PAN",2006,12844
"Panama","PAN",2007,13790
"Panama","PAN",2008,13324
"Panama","PAN",2009,12961
"Panama","PAN",2010,12470
"Panama","PAN",2011,9826
"Panama","PAN",2012,10049
"Panama","PAN",2013,7096
"Panama","PAN",2014,6688
"Panama","PAN",2015,7464
"Panama","PAN",2016,6135
"Panama","PAN",2017,6588
"Panama","PAN",2018,5579
"Panama","PAN",2019,8371
"Panama","PAN",2020,6254
"Panama","PAN",2021,6020
"Panama","PAN",2022,13689
"Panama","PAN",2023,12760
"Papua New Guinea","PNG",1961,2520
"Papua New Guinea","PNG",1962,4140
"Papua New Guinea","PNG",1963,5280
"Papua New Guinea","PNG",1964,7500
"Papua New Guinea","PNG",1965,9240
"Papua New Guinea","PNG",1966,11700
"Papua New Guinea","PNG",1967,15720
"Papua New Guinea","PNG",1968,14570
"Papua New Guinea","PNG",1969,21478
"Papua New Guinea","PNG",1970,27495
"Papua New Guinea","PNG",1971,26967
"Papua New Guinea","PNG",1972,29015
"Papua New Guinea","PNG",1973,34798
"Papua New Guinea","PNG",1974,34084
"Papua New Guinea","PNG",1975,36945
"Papua New Guinea","PNG",1976,39466
"Papua New Guinea","PNG",1977,38224
"Papua New Guinea","PNG",1978,45945
"Papua New Guinea","PNG",1979,49532
"Papua New Guinea","PNG",1980,54762
"Papua New Guinea","PNG",1981,49837
"Papua New Guinea","PNG",1982,41108
"Papua New Guinea","PNG",1983,55894
"Papua New Guinea","PNG",1984,43675
"Papua New Guinea","PNG",1985,56206
"Papua New Guinea","PNG",1986,44310
"Papua New Guinea","PNG",1987,62520
"Papua New Guinea","PNG",1988,62000
"Papua New Guinea","PNG",1989,65640
"Papua New Guinea","PNG",1990,60000
"Papua New Guinea","PNG",1991,47220
"Papua New Guinea","PNG",1992,50460
"Papua New Guinea","PNG",1993,63540
"Papua New Guinea","PNG",1994,67136
"Papua New Guinea","PNG",1995,59589
"Papua New Guinea","PNG",1996,65091
"Papua New Guinea","PNG",1997,64524
"Papua New Guinea","PNG",1998,80940
"Papua New Guinea","PNG",1999,83040
"Papua New Guinea","PNG",2000,83000
"Papua New Guinea","PNG",2001,63720
"Papua New Guinea","PNG",2002,65100
"Papua New Guinea","PNG",2003,69300
"Papua New Guinea","PNG",2004,59820
"Papua New Guinea","PNG",2005,76080
"Papua New Guinea","PNG",2006,48420
"Papua New Guinea","PNG",2007,58080
"Papua New Guinea","PNG",2008,61680
"Papua New Guinea","PNG",2009,60240
"Papua New Guinea","PNG",2010,52220
"Papua New Guinea","PNG",2011,84870
"Papua New Guinea","PNG",2012,43620
"Papua New Guinea","PNG",2013,49680
"Papua New Guinea","PNG",2014,56893.36
"Papua New Guinea","PNG",2015,57982.28
"Papua New Guinea","PNG",2016,53719.27
"Papua New Guinea","PNG",2017,46980
"Papua New Guinea","PNG",2018,53160
"Papua New Guinea","PNG",2019,45129
"Papua New Guinea","PNG",2020,40500
"Papua New Guinea","PNG",2021,47880
"Papua New Guinea","PNG",2022,40800
"Papua New Guinea","PNG",2023,45371.09
"Paraguay","PRY",1961,6000
"Paraguay","PRY",1962,6180
"Paraguay","PRY",1963,7140
"Paraguay","PRY",1964,7200
"Paraguay","PRY",1965,6018
"Paraguay","PRY",1966,6510
"Paraguay","PRY",1967,7110
"Paraguay","PRY",1968,7340
"Paraguay","PRY",1969,6090
"Paraguay","PRY",1970,4310
"Paraguay","PRY",1971,5810
"Paraguay","PRY",1972,7660
"Paraguay","PRY",1973,6930
"Paraguay","PRY",1974,8480
"Paraguay","PRY",1975,8340
"Paraguay","PRY",1976,3910
"Paraguay","PRY",1977,6000
"Paraguay","PRY",1978,7200
"Paraguay","PRY",1979,7560
"Paraguay","PRY",1980,7800
"Paraguay","PRY",1981,12856
"Paraguay","PRY",1982,13865
"Paraguay","PRY",1983,15031
"Paraguay","PRY",1984,18359
"Paraguay","PRY",1985,18134
"Paraguay","PRY",1986,19070
"Paraguay","PRY",1987,18276
"Paraguay","PRY",1988,18335
"Paraguay","PRY",1989,17605
"Paraguay","PRY",1990,17576
"Paraguay","PRY",1991,4519
"Paraguay","PRY",1992,4850
"Paraguay","PRY",1993,4950
"Paraguay","PRY",1994,5002
"Paraguay","PRY",1995,4008
"Paraguay","PRY",1996,4024
"Paraguay","PRY",1997,4823
"Paraguay","PRY",1998,4752
"Paraguay","PRY",1999,4726
"Paraguay","PRY",2000,3586
"Paraguay","PRY",2001,2751
"Paraguay","PRY",2002,2434
"Paraguay","PRY",2003,3085
"Paraguay","PRY",2004,3353
"Paraguay","PRY",2005,2900
"Paraguay","PRY",2006,3040
"Paraguay","PRY",2007,3100
"Paraguay","PRY",2008,273
"Paraguay","PRY",2009,281
"Paraguay","PRY",2010,370
"Paraguay","PRY",2011,370
"Paraguay","PRY",2012,370
"Paraguay","PRY",2013,382
"Paraguay","PRY",2014,386
"Paraguay","PRY",2015,395
"Paraguay","PRY",2016,395
"Paraguay","PRY",2017,442
"Paraguay","PRY",2018,441
"Paraguay","PRY",2019,399
"Paraguay","PRY",2020,381
"Paraguay","PRY",2021,388
"Paraguay","PRY",2022,336.62
"Paraguay","PRY",2023,267.33
"Peru","PER",1961,42643
"Peru","PER",1962,46356
"Peru","PER",1963,48940
"Peru","PER",1964,52740
"Peru","PER",1965,48264
"Peru","PER",1966,52380
"Peru","PER",1967,52753
"Peru","PER",1968,64652
"Peru","PER",1969,68439
"Peru","PER",1970,65368
"Peru","PER",1971,70587
"Peru","PER",1972,70195
"Peru","PER",1973,70396
"Peru","PER",1974,69855
"Peru","PER",1975,65387
"Peru","PER",1976,65445
"Peru","PER",1977,80190
"Peru","PER",1978,88166
"Peru","PER",1979,105478
"Peru","PER",1980,86177
"Peru","PER",1981,79360
"Peru","PER",1982,79422
"Peru","PER",1983,85637
"Peru","PER",1984,83357
"Peru","PER",1985,90736
"Peru","PER",1986,96054
"Peru","PER",1987,98538
"Peru","PER",1988,99414
"Peru","PER",1989,105753
"Peru","PER",1990,81142
"Peru","PER",1991,82635
"Peru","PER",1992,86519
"Peru","PER",1993,85603
"Peru","PER",1994,91340
"Peru","PER",1995,96697
"Peru","PER",1996,106520
"Peru","PER",1997,133296
"Peru","PER",1998,144763
"Peru","PER",1999,167145
"Peru","PER",2000,191651
"Peru","PER",2001,196232
"Peru","PER",2002,212770
"Peru","PER",2003,203148
"Peru","PER",2004,231447
"Peru","PER",2005,188611
"Peru","PER",2006,273178
"Peru","PER",2007,225992
"Peru","PER",2008,273780
"Peru","PER",2009,243479
"Peru","PER",2010,264605
"Peru","PER",2011,331547
"Peru","PER",2012,320163.56
"Peru","PER",2013,256241.44
"Peru","PER",2014,222047
"Peru","PER",2015,251938
"Peru","PER",2016,277760.4
"Peru","PER",2017,337330
"Peru","PER",2018,369622
"Peru","PER",2019,363319.6
"Peru","PER",2020,353205.75
"Peru","PER",2021,363996.84
"Peru","PER",2022,358177.7
"Peru","PER",2023,369550.53
"Philippines","PHL",1961,32300
"Philippines","PHL",1962,43100
"Philippines","PHL",1963,32900
"Philippines","PHL",1964,39311
"Philippines","PHL",1965,44145
"Philippines","PHL",1966,42793
"Philippines","PHL",1967,44300
"Philippines","PHL",1968,43862
"Philippines","PHL",1969,44172
"Philippines","PHL",1970,49017
"Philippines","PHL",1971,49500
"Philippines","PHL",1972,51600
"Philippines","PHL",1973,50910
"Philippines","PHL",1974,53031
"Philippines","PHL",1975,91444
"Philippines","PHL",1976,80800
"Philippines","PHL",1977,105100
"Philippines","PHL",1978,118750
"Philippines","PHL",1979,115500
"Philippines","PHL",1980,125285
"Philippines","PHL",1981,146700
"Philippines","PHL",1982,171400
"Philippines","PHL",1983,146927
"Philippines","PHL",1984,116755
"Philippines","PHL",1985,135354
"Philippines","PHL",1986,145301
"Philippines","PHL",1987,140119
"Philippines","PHL",1988,141892
"Philippines","PHL",1989,155900
"Philippines","PHL",1990,125659
"Philippines","PHL",1991,125017
"Philippines","PHL",1992,126832
"Philippines","PHL",1993,124415
"Philippines","PHL",1994,123553
"Philippines","PHL",1995,127412
