,Year,Pick,Unnamed: 2,BPM,Rank_BPM,Pick.1,Avg_BPM,Rank_Pick
368,2016,9,Jakob Poeltl,1.2,,,,
369,2016,10,Thon Maker,-2.1,,,,
370,2016,11,Domantas Sabonis,3.3,,,,
371,2016,12,Taurean Prince,-2.1,,,,
372,2016,13,Georgios Papagiannis,-3.9,,,,
373,2016,14,Denzel Valentine,-1.9,,,,
374,2016,15,Juancho Hernangómez,-1.9,,,,
375,2016,16,Guerschon Yabusele,-1.4,,,,
376,2016,17,Wade Baldwin,-5.3,,,,
377,2016,18,Henry Ellenson,-3.7,,,,
378,2016,19,Malik Beasley,-0.9,,,,
379,2016,20,Caris LeVert,-0.2,,,,
380,2016,21,DeAndre' Bembry,-2.3,,,,
381,2016,22,Malachi Richardson,-6.1,,,,
382,2016,23,Ante Žižić,-2.6,,,,
383,2016,24,Timothé Luwawu-Cabarrot,-4.0,,,,
384,2016,25,Brice Johnson,-0.6,,,,
385,2016,26,Furkan Korkmaz,-2.0,,,,
386,2016,27,Pascal Siakam,2.0,,,,
387,2016,28,Skal Labissière,-2.3,,,,
388,2016,29,Dejounte Murray,1.4,,,,
389,2016,30,Damian Jones,-1.0,,,,
390,2016,31,Deyonta Davis,-2.1,,,,
391,2016,32,Ivica Zubac,0.8,,,,
392,2016,33,Cheick Diallo,-1.4,,,,
393,2016,34,Tyler Ulis,-3.6,,,,
394,2016,35,Rade Zagorac,0.0,,,,
395,2016,36,Malcolm Brogdon,1.3,,,,
396,2016,37,Chinanu Onuaku,-5.4,,,,
397,2016,38,Patrick McCaw,-2.8,,,,
398,2016,39,David Michineau,0.0,,,,
399,2016,40,Diamond Stone,-20.8,,,,
400,2016,41,Stephen Zimmerman,-8.3,,,,
401,2016,42,Isaiah Whitehead,-5.0,,,,
402,2016,43,Zhou Qi,-9.6,,,,
403,2016,44,Isaïa Cordinier,0.0,,,,
404,2016,45,Demetrius Jackson,-0.5,,,,
405,2016,46,A.J. Hammons,-6.6,,,,
406,2016,47,Jake Layman,-2.3,,,,
407,2016,48,Paul Zipser,-5.2,,,,
408,2016,49,Michael Gbinije,-12.1,,,,
409,2016,50,Georges Niang,-1.7,,,,
410,2016,51,Ben Bentil,-25.9,,,,
411,2016,52,Joel Bolomboy,-0.1,,,,
412,2016,53,Petr Cornelie,-8.8,,,,
413,2016,54,Kay Felder,-4.7,,,,
414,2016,55,Marcus Paige,-8.8,,,,
415,2016,56,Daniel Hamilton,-3.3,,,,
416,2016,57,Wang Zhelin,0.0,,,,
417,2016,58,Abdel Nader,-2.6,,,,
418,2016,59,Isaiah Cousins,0.0,,,,
419,2016,60,Tyrone Wallace,-5.2,,,,
420,2017,1,Markelle Fultz,-1.2,,,,
421,2017,2,Lonzo Ball,0.9,,,,
422,2017,3,Jayson Tatum,3.8,,,,
423,2017,4,Josh Jackson,-3.8,,,,
424,2017,5,De'Aaron Fox,0.9,,,,
425,2017,6,Jonathan Isaac,0.9,,,,
426,2017,7,Lauri Markkanen,1.1,,,,
427,2017,8,Frank Ntilikina,-4.4,,,,
428,2017,9,Dennis Smith Jr.,-2.1,,,,
429,2017,10,Zach Collins,-1.5,,,,
430,2017,11,Malik Monk,-1.0,,,,
431,2017,12,Luke Kennard,-0.1,,,,
