Year,Pick,,BPM,Rank_BPM,Pick,Avg_BPM,Rank_Pick
2017,9,Dennis Smith Jr.,-2.1,,,,
2017,10,Zach Collins,-1.5,,,,
2017,11,Malik Monk,-1,,,,
2017,12,Luke Kennard,-0.1,,,,
2017,13,Donovan Mitchell,3.6,,,,
2017,14,Bam Adebayo,2.5,,,,
2017,15,Justin Jackson,-2.8,,,,
2017,16,Justin Patton,-2.8,,,,
2017,17,D.J. Wilson,-2.4,,,,
2017,18,T.J. Leaf,-1.8,,,,
2017,19,John Collins,0.5,,,,
2017,20,Harry Giles,-2.5,,,,
2017,21,Terrance Ferguson,-4,,,,
2017,22,Jarrett Allen,2.3,,,,
2017,23,OG Anunoby,0.3,,,,
2017,24,Tyler Lydon,-4.3,,,,
2017,25,Anžejs Pasečņiks,-6.2,,,,
2017,26,Caleb Swanigan,-6.2,,,,
2017,27,Kyle Kuzma,-1.5,,,,
2017,28,Tony Bradley,-0.1,,,,
2017,29,Derrick White,2.2,,,,
2017,30,Josh Hart,0.6,,,,
2017,31,Frank Jackson,-3.9,,,,
2017,32,Davon Reed,-2.9,,,,
2017,33,Wes Iwundu,-3.9,,,,
2017,34,Frank Mason III,-2.7,,,,
2017,35,Ivan Rabb,-1.7,,,,
2017,36,Jonah Bolden,-1.3,,,,
2017,37,Semi Ojeleye,-3.4,,,,
2017,38,Jordan Bell,0.2,,,,
2017,39,Jawun Evans,-5.4,,,,
2017,40,Dwayne Bacon,-5.1,,,,
2017,41,Tyler Dorsey,-3,,,,
2017,42,Thomas Bryant,0.9,,,,
2017,43,Isaiah Hartenstein,2.2,,,,
2017,44,Damyean Dotson,-2.8,,,,
2017,45,Dillon Brooks,-3.3,,,,
2017,46,Sterling Brown,-2.1,,,,
2017,47,Ike Anigbogu,-1.1,,,,
2017,48,Sindarius Thornwell,-3.1,,,,
2017,49,Vlatko Čančar,-2.5,,,,
2017,50,Mathias Lessort,0,,,,
2017,51,Monte Morris,0.2,,,,
2017,52,Edmond Sumner,-3,,,,
2017,53,Kadeem Allen,-1.2,,,,
2017,54,Alec Peters,-2.8,,,,
2017,55,Nigel Williams-Goss,-3.9,,,,
2017,56,Jabari Bird,-3.1,,,,
2017,57,Sasha Vezenkov,-0.9,,,,
